id,incomplete_input,incomplete_label,complete_input,complete_label,generated_input,generated_label
1,A crowd gathers in the great plaza,POSITIVE,"A crowd gathers in the great plaza of Karth, a Galankar trading center. Musa's shop is jammed with people from all walks of life--buyers, idlers, herdsmen, artisans, traders, and more. Lanko enters to show Musa some goods he has recently bought from Musa; Musa tells him that Musa plans to leave for Norlar on a trip over the Eastern Sea. The man asks Musa if Musa will make it five hundred, and Musa says yes.",POSITIVE,"A crowd gathers in the great plaza of the town square, where the town's mayor and other dignitaries will be making their speeches. The mayor will be announcing the winners""}]",POSITIVE
2,Ann says she'll kick him cross-eyed if,NEGATIVE,"Ann says she'll kick him cross-eyed if he starts anything. When they finally arrive at the home of Peter Powers, an agent of Snader's bureau, they find out that Mr. Snader is now living in another part of the United States. He has changed the station number from 725 to 724 . They go in search of a place called Green Thru-Way.",NEGATIVE,"Ann says she'll kick him cross-eyed if he doesn't get it.\nMeanwhile, the group is hanging out at the park, and Lily is worried that they're""}]",NEGATIVE
3,It turns out that the northmen fear,NEGATIVE,"It turns out that the northmen fear the southmen because they do not believe in ghosts or supernatural beings. So they send them back to their hiding place. As they get closer to the island, they come upon a cave filled with tunnels leading up to a massive rock wall. Inside, they can see the skulls of several men and hear the laughter of the troll-wife.",NEGATIVE,"It turns out that the northmen fear the southmen, and that the northmen are afraid of the southmen.\nThe northmen are afraid of the southmen because the southmen are stronger""}]",NEGATIVE
4,Martha grabs hold of the lid and,POSITIVE,Martha grabs hold of the lid and squeezes down through the hole in the chest like a little girl playing with her doll's doll's toys. Martha puts her hand on the lid to let the box fall to the ground without being hit. Martha pulls the lid down just as the police arrive. Martha notices that the chest has become too large for the three attackers.,NEGATIVE,"Martha grabs hold of the lid and pulls it tight.\n\""I'm going to be a big sister, aren't I?\"" she says, her eyes sparkling with excitement.""}]",POSITIVE
5,"When he wakes up, he finds no",NEGATIVE,"When he wakes up, he finds no knife, no rocket pistol, no line with magnet for securing oneself to a hull, and none of the other parts of his suit have been left. After thinking about it for a few minutes, he realizes that he has wasted more time than he thought in reviewing his earlier encounters with Dorothy aboard the starship and the others at the spaceport. He starts to think about how he might be able to get himself into another ship once he gets back to Earth.",NEGATIVE,"When he wakes up, he finds no one is there. He is alone in the world. He is not sure who he is or what he is doing. He is not sure if he is alive""}]",NEGATIVE
6,"He offers to pay for the animals,",NEGATIVE,"He offers to pay for the animals, but Flannery refuses and threatens to take the fifty cents if one hair of those pigs is harmed. A week later, he receives a similar letter from Westcote Express Company asking him to refund the overcharge. This time, however, the company writes back saying that it will not be refunded. The next day, Mr. Morehouse receives yet another letter from an agent who tells him that there has been a huge influx of guineapigs shipped by the interurban express company due to a dispute regarding rates.",NEGATIVE,"He offers to pay for the animals, but she declines.\n\""I don't have any money,\"" she says. \""I'm a single mother.\""\nThe man, who is""}]",NEGATIVE
7,"Toldees, Mondath, Arizim, and Mondath all have",POSITIVE,"Toldees, Mondath, Arizim, and Mondath all have young men who go down to Poltarnees to look for signs of the sea. One such youth named Athelvok comes across the three kings sitting at a pool discussing the beauty of Hilnaric's garden. The king of Mondath invites him to wife and sit in the Council of Kings. He agrees.",POSITIVE,"Toldees, Mondath, Arizim, and Mondath all have a similar history and are all related to the word \""monda\"" which means \""to stand still.\""\nMondath is a name that is used in""}]",NEGATIVE
8,Tom Dorset is frustrated with himself and,NEGATIVE,"Tom Dorset is frustrated with himself and the Tosker-Brown Vacation Fellowships as he climbs into the valley of red stones in the American Southwest. He wonders if it's possible for a man and woman to love just one person, all her life? And a man just one woman? The narrator notes that Tom has no way of knowing whether this is true or not: ""just as there are winds that blow through space, so there have been winds that blew through time.",NEGATIVE,"Tom Dorset is frustrated with himself and his wife, who is constantly nagging him to get a job. He decides to take a job as a waiter at a posh restaurant in London""}]",NEGATIVE
9,He tells them that he didn't tell,NEGATIVE,"He tells them that he didn't tell them what was going on because he thought they were sick. The children arrive an hour later than expected due to the arrival of Ned, Mrs. Newcomb, Frank, and Mabel. After much discussion, Frank finally agrees to go ahead and make a real family reunion by visiting the Bertrams on Christmas Eve. During the course of the conversation, Frank also reveals that he doesn't want to tell anyone about what happened; instead, he wants to buy something else in the village so that the children will not be able to see him.",NEGATIVE,"He tells them that he didn't tell them about the plan because he didn't want them to get upset. He tells them that he's going to be gone for a few days,""}]",NEGATIVE
10,He returns home and puts off buying,NEGATIVE,"He returns home and puts off buying his cigars until later that night. In the morning, after being woken up by strange events, Mr. Chambers hurries back to his secluded home. He takes two sleeping powders and reverts to his normal state of disarray.",NEGATIVE,"He returns home and puts off buying a new car, but when he learns that his father has been fired, he decides to take the car to the dealership and demand that he be""}]",NEGATIVE
