id,context,input,output
0,,A crowd gathers in the great plaza,"A crowd gathers in the great plaza of Karth, a Galankar trading center. Musa's shop is jammed with people from all walks of life--buyers, idlers, herdsmen, artisans, traders, and more. Lanko enters to show Musa some goods he has recently bought from Musa; Musa tells him that Musa plans to leave for Norlar on a trip over the Eastern Sea. The man asks Musa if Musa will make it five hundred, and Musa says yes."
1,"S. copyright on this publication was renewed.] Jeff needed a job and this man had a job to offer--one where giant economy-size trouble had labels like fakemake, bumsy and peekage! At first, Jeff scarcely notices the bold-looking man at the next table. Ann and Ann tease him about his ""time travel,"" but he tells them that it's not as fun as Disneyland or Disney because they don't have secrets and no money. ",Ann says she'll kick him cross-eyed if,"Ann says she'll kick him cross-eyed if he starts anything. When they finally arrive at the home of Peter Powers, an agent of Snader's bureau, they find out that Mr. Snader is now living in another part of the United States. He has changed the station number from 725 to 724 . They go in search of a place called Green Thru-Way."
2,"The winds blow Cappen off his feet as the ship drifts into the storm. Svearek tries to steer the ship closer to a large island in the storm, but it is too deep for him to row very well. He falls overboard and lands on a nearby lake. The other sailors help him onto a small boat that has been lowered into the sea by a strong wind. When they are able to board the boat, they find themselves alone on an uninhabited island with no one else to talk to. They all laugh at the idea of fighting over their lost love. Cappens first thinks of Ydris in Seilles, but then he realizes that she would have been nothing if not for the ""troll-wife"" who had stolen his silver amulet. Then he remembers her name and begins to sing along with her singing voice. Soon enough, however, he hears voices coming from another part of the island. ",It turns out that the northmen fear,"It turns out that the northmen fear the southmen because they do not believe in ghosts or supernatural beings. So they send them back to their hiding place. As they get closer to the island, they come upon a cave filled with tunnels leading up to a massive rock wall. Inside, they can see the skulls of several men and hear the laughter of the troll-wife."
3,"The Doll's Playhouse Martha discovers a black wooden chest that Uncle Walter had sent over from Italy years ago. Martha decides to dust it up and put it in order, but when she opens the back door, she finds three men--Beni, Beni, and Martha--who are all dressed in very different ways. They tell her that they are Italian bandits who have been living in Chicago since before Martha was born. Martha tells them that she is on Prairie avenue in Chicago because Uncle Walter sent her there as a traveling trunk. The three of them go into the attic to search for their treasure. Martha realizes that this treasure belongs to one of Uncle Walter's African-American brothers, whom she now calls ""Bandits."" She goes downstairs to find the three remaining American bandits: Beni explains that his father is a lawyer; Beni says he will help Martha get rid of her troublesome band of enemies; Martha adds that she would rather die than be tortured by an American family. Finally, the three return to the doll's playhouse where Martha sits with her mother and two other friends. Martha climbs down the stairs to open the chest. It is full of boxes, trunks, and discarded clothing. In the middle of the night, Martha hears the music of the carol choruses signaling the arrival of the police. When Martha reaches the top of the stairs, she sees the police officers waiting for her at the bottom of the stairway. Martha rushes out to greet them, saying that she wants to thank them for saving her life. Martha asks if they are her friends, and they reply that they adore her. Martha tries to squeeze down the side of the chest so the cops won't see her. But the chest seems rather small. ",Martha grabs hold of the lid and,Martha grabs hold of the lid and squeezes down through the hole in the chest like a little girl playing with her doll's doll's toys. Martha puts her hand on the lid to let the box fall to the ground without being hit. Martha pulls the lid down just as the police arrive. Martha notices that the chest has become too large for the three attackers.
4,"S. copyright on this publication was renewed. SATELLITE SYSTEM By H. B. FYFE There's nothing like a satellite system for a cold storage arrangement. Keeps things handy, but out of the way. Illustrated by Summers Having released the netting of his bunk, George Tremont climbs into a cramped space capsule with some crewmen and a girl in his mid-teens. Tremont is surprised to find that there are only three cabins up on the outer moon of Centauri VI. He tries to figure out where he made his mistake. Bill Braigh, an elderly youth with the crewcut, Ralph Peters, and Dorothy Stauber all enter the capsule first. They grab Tremont and stuff him into a spacesuit. Then they drag him back to the launch pad. ","When he wakes up, he finds no","When he wakes up, he finds no knife, no rocket pistol, no line with magnet for securing oneself to a hull, and none of the other parts of his suit have been left. After thinking about it for a few minutes, he realizes that he has wasted more time than he thought in reviewing his earlier encounters with Dorothy aboard the starship and the others at the spaceport. He starts to think about how he might be able to get himself into another ship once he gets back to Earth."
5,Morehouse receives a letter from the Interurban Express Company stating that they are in receipt of a letter regarding the rate on guinea pigs. ,"He offers to pay for the animals,","He offers to pay for the animals, but Flannery refuses and threatens to take the fifty cents if one hair of those pigs is harmed. A week later, he receives a similar letter from Westcote Express Company asking him to refund the overcharge. This time, however, the company writes back saying that it will not be refunded. The next day, Mr. Morehouse receives yet another letter from an agent who tells him that there has been a huge influx of guineapigs shipped by the interurban express company due to a dispute regarding rates."
6,"To the south they are bounded by magic, to the west by a mountain, and to the north by the voice and anger of the Polar wind. Very peaceful are the Inner Lands, and very fair are their cities. They have a green way in every city that wanders into the outer lands. There are no wars among them, for thirst and fever lie sunning themselves out in the mid-desert, and there are no ghosts or ghouls lurking in the inner lands. Young men often wander away from these kingdoms because they have a longing to see the Sea. ","Toldees, Mondath, Arizim, and Mondath all have","Toldees, Mondath, Arizim, and Mondath all have young men who go down to Poltarnees to look for signs of the sea. One such youth named Athelvok comes across the three kings sitting at a pool discussing the beauty of Hilnaric's garden. The king of Mondath invites him to wife and sit in the Council of Kings. He agrees."
7,,Tom Dorset is frustrated with himself and,"Tom Dorset is frustrated with himself and the Tosker-Brown Vacation Fellowships as he climbs into the valley of red stones in the American Southwest. He wonders if it's possible for a man and woman to love just one person, all her life? And a man just one woman? The narrator notes that Tom has no way of knowing whether this is true or not: ""just as there are winds that blow through space, so there have been winds that blew through time."
8,"Mr. and Mrs. Samuel Bertram's only daughter, Ella, writes to her brothers asking them if they would like to have a Christmas visit with their family. They decide that they should do it the day before Christmas since they can't have them with them for many more years. On Christmas morning, Frank arrives at the Bertram homestead just as his twin sons are arriving from the train station. ",He tells them that he didn't tell,"He tells them that he didn't tell them what was going on because he thought they were sick. The children arrive an hour later than expected due to the arrival of Ned, Mrs. Newcomb, Frank, and Mabel. After much discussion, Frank finally agrees to go ahead and make a real family reunion by visiting the Bertrams on Christmas Eve. During the course of the conversation, Frank also reveals that he doesn't want to tell anyone about what happened; instead, he wants to buy something else in the village so that the children will not be able to see him."
9,"The Street That Wasn't There Mr. Jonathon Chambers leaves his house at exactly 7:45 in the evening and goes out on his daily walk, which has been going on for twenty years. He walks slowly down Maple Street, stopping at several confectionery stores to buy a Rose Trofero perfecto. When he reaches his home, he realizes that it is now 7:30 p.m. The same time as twenty years ago when he first moved to New York City. He wonders why he hasn't just stopped and gotten his cigar yet. He remembers thinking about the famous scientist who once taught him how to read. He also remembers seeing an old sailing ship floating in the ocean. Then he dreams of snakes. ",He returns home and puts off buying,"He returns home and puts off buying his cigars until later that night. In the morning, after being woken up by strange events, Mr. Chambers hurries back to his secluded home. He takes two sleeping powders and reverts to his normal state of disarray."
