id,response
1,"A crowd gathers in the great plaza of the town square, where the town's mayor and other dignitaries will be making their speeches. The mayor will be announcing the winners""}]"
2,"Ann says she'll kick him cross-eyed if he doesn't get it.\nMeanwhile, the group is hanging out at the park, and Lily is worried that they're""}]"
3,"It turns out that the northmen fear the southmen, and that the northmen are afraid of the southmen.\nThe northmen are afraid of the southmen because the southmen are stronger""}]"
4,"Martha grabs hold of the lid and pulls it tight.\n\""I'm going to be a big sister, aren't I?\"" she says, her eyes sparkling with excitement.""}]"
5,"When he wakes up, he finds no one is there. He is alone in the world. He is not sure who he is or what he is doing. He is not sure if he is alive""}]"
6,"He offers to pay for the animals, but she declines.\n\""I don't have any money,\"" she says. \""I'm a single mother.\""\nThe man, who is""}]"
7,"Toldees, Mondath, Arizim, and Mondath all have a similar history and are all related to the word \""monda\"" which means \""to stand still.\""\nMondath is a name that is used in""}]"
8,"Tom Dorset is frustrated with himself and his wife, who is constantly nagging him to get a job. He decides to take a job as a waiter at a posh restaurant in London""}]"
9,"He tells them that he didn't tell them about the plan because he didn't want them to get upset. He tells them that he's going to be gone for a few days,""}]"
10,"He returns home and puts off buying a new car, but when he learns that his father has been fired, he decides to take the car to the dealership and demand that he be""}]"
11,"It hurt.\nI'm not sure if it was the pain or the memory of the pain that made me want to write about it. I'm not sure if""}]"
12,"The newspaper is still on the hat-stand, and I've got a copy of the latest issue in my pocket. I'm not sure what I'll do with it, but I'm""}]"
13,"The Happy Prince has fallen in love with the Prince's sister, but she is in love with the Prince.\nThe Happy Prince is a story of a man who falls in love with a""}]"
14,"They hear strange cries and screams coming from the forest. They are attacked by a pack of wolves.\nTheir only hope is to find the wolf pack's den and call for""}]"
15,"When they arrive, they find a group of people who are being held hostage by a group of people who are not who they appear to be.\nThe film is a thriller that has a""}]"
16,"In September, Moffat relates to Doctor Strong, a man who has been missing for 15 years. He is convinced that the Doctor is the only person who can help him find his brother.\n""}]"
17,"Catherine were to be found.\nTheir first meeting was at a party thrown by the couple's mutual friend, the actress Michelle Pfeiffer.\n\""I was at""}]"
18,"Spanish Short Stories In the early nineteenth century, the short story was a popular literary form in France. It was a literary form that emerged in the late 18th century and was character""}]"
19,"There is a whirring of the clockwork as the doors open and close, and the sound of the wind rustling through the trees. The air is filled with the scent of the forest,""}]"
20,"He also says that if they want to get rid of the \""bad\"" people, they should just kill them.\nI think that's a bit of a stretch. If they want to""}]"
21,"But could he smuggle himself aboard?\nThe answer is yes, but only if he had a lot of luck.\nThe captain of the ship was a man named Captain Jack Sparrow.""}]"
22,"After all, what else could it possibly be?\nThe answer is that it's not a toy. It's a real person.\nThe real person is a 10-""}]"
23,"They're mechanical opposites--the mechanical parallel of the human body and the mechanical parallel of the universe. But they're not the same thing.\nThe human body is a machine, but it's not""}]"
24,"But Dodeth had a way with raking in the cash. He was a master at the table and had a knack for knowing when to bet big and when to fold. He was also""}]"
25,"Several days later, one of the sailors was found dead.\nThe ship was carrying 1,000 tonnes of cocaine, worth an estimated $1.5 billion at the""}]"
26,"Pushkin The Queen of Spades, by Pushkin, is a classic of Russian literature. It is a tale of a woman who is deceived by a charming but deceitful man. The story is told""}]"
27,"Matilda decides to visit Haron Gorka in the city of Gorkha.\nThe two of them have a conversation about the past and the future of the world.\nThe two of them talk about""}]"
28,"This is the Ballad of the Double-Soul.\nThe Ballad of the Double-Soul is a song by American rapper Big Daddy Kane. It was released in 198""}]"
29,"It is dark except for the waning moon, and the air is still. The wind rustles through the trees, and the occasional rustling of the leaves is punctuated by the sound""}]"
30,"All diseases are conquered.\nThe world is a better place.\nThe world is a better place. The world is a better place.\nThe world is a better place. The""}]"
31,"This is why: On the second evening of the festival, the 2018 edition, the festival will be held in the historic centre of the city, in the heart of the Jewish Qu""}]"
32,"She agrees, but when he tries to leave, she grabs him and drags him back in.\n\""I'm not going anywhere until you tell me what you're doing here,\""""}]"
33,"Captain Roger Post tells Gray that \""the most important thing is to be patient and persistent.\""\nThe post-apocalyptic world is a place of chaos and confusion, but it's""}]"
34,"They all agree that it's almost time to get out of the house and enjoy the sunshine.\nTheir mother, who is a nurse, is worried about the kids.""}]"
35,"C. Scully MARY MUSGRAVE, Anonymous GREGORIO, Percy Bysshe SHelley JOHN MASEFIELD, Percy Bysshe SHELLEY, William William Blake ROSE MART""}]"
36,"The Quinn & BODEN COMPANY RAHWAY N.J. 1988.\nCARLOS MARTINEZ, JR.\nCARLOS MARTINEZ, J""}]"
37,"The Four Seas Press CONTENTS Brazil's literature is a rich and diverse one, with a rich history and a rich present. The book explores the rich and diverse literature of Brazil, from the colonial period""}]"
38,"The narrator gives us a brief description of the city and its inhabitants.\nThe narrator then introduces the main character, a young woman named Lily. Lily is described as being tall""}]"
39,"It has lost its original gleam and is now a pale, lifeless colour.\nThe first thing you notice when you walk into the store is the smell. It's a mixture of""}]"
40,"The skipper told them to keep Sarro in the boat.\nThe boat was then taken to the port of Lampedusa, where it was loaded onto a ferry and sent to Sicily""}]"
41,"His wife Lydia Volchaninov lives with her family in the United States.\nTheir daughter, Alexandra Volchaninov, is a doctor and a researcher in the field of neurolog""}]"
42,"He was known throughout Normandy for his skill in the use of the bayonet. He was killed in action on 15 June 1944. He is commemorated on""}]"
43,"When he returns to Oxford for Christmas, he is surprised to find that his former room-mate, the charming and ambitious Charlotte, has married the dashing and irresistible""}]"
44,"He realizes that this is true; indeed, he is the only one who can see the future.\nThe film's opening sequence is a montage of images of the future, showing a world in""}]"
45,"They do just that--they make a snowman.\nThe kids love it, and so do I.\nI'm not sure if it's the cute snowman or the fact""}]"
46,"Kit Bellew was originally called Kit Bellew, but later changed his name to Kit Carson. He was a British soldier who served in the American Revolutionary War. He was a scout, trapper""}]"
47,"Back into space.\nThe space shuttle program was a series of three space shuttle orbiter and two space station missions launched by the United States between 1""}]"
48,"This question does not answer: \""My, but you're a very interesting person.\""\nThe question does not answer: \""I'm very interested in you.\""\nThe question does not answer: \""""}]"
49,"When he says yes, he gives Randolph a ring. Randolph is devastated, but he's also thrilled. He's never been with anyone as he is now.\nWhen""}]"
50,"He also realizes that this is the first time he's ever been in love.\nThe film is a coming-of-age story about a young man coming to terms with his sexuality""}]"
51,"The painting of the Isle of the Dead, which is the last of the three, is the most detailed and is considered to be the most accurate.\nThe painting of the Isle of the""}]"
52,"Oh, yeah--he'll be back soon.\nI'm sure he will. I'm sure he will.\nI'm sure he will. I'm sure he will.\nI""}]"
53,"He tells Major Bill Greer to come to him.\nMeanwhile, Major Bill Greer is in the hospital room of a woman who is not his wife. He is told that she is""}]"
54,"Tatiana's maid becomes pregnant and miscarries.\nTatiana is devastated and decides to leave the city.\nTatiana's mother, who is a wealthy woman, mar""}]"
55,"What with the wife and her sister, and the kids and their friends, and the dog and the cat and the chickens and the ducks and the geese and the pigs and""}]"
